dataset,hypothesis,new_model,reference,delta_macro_f1,ci_low,ci_high,p_one_sided,n_boot,q_bh
artbench10_all,H1 curvature beyond appearance,B90_K40,B90,0.022375927866091216,0.01905208438288876,0.025725607991080063,0.0001999600079984003,5000,0.0001999600079984003
artbench10_all,H1b full geometry beyond appearance,B90_G44,B90,0.026279062256747754,0.02301199055980667,0.029652582666611894,0.0001999600079984003,5000,0.0001999600079984003
artbench10_all,H2 curvature beyond ordinal,OP75_K40,OP75,0.06708029896538159,0.06067205695844416,0.07336311843017368,0.0001999600079984003,5000,0.0001999600079984003
artbench10_all,H3 curvature beyond appearance+ordinal,B90_OP75_K40,B90_OP75,0.0168900283651911,0.013951162750320788,0.01982091161643639,0.0001999600079984003,5000,0.0001999600079984003
artbench10_wikiart8,H1 curvature beyond appearance,B90_K40,B90,0.02336547936764377,0.019568817757724642,0.02704990773891197,0.0001999600079984003,5000,0.0001999600079984003
artbench10_wikiart8,H1b full geometry beyond appearance,B90_G44,B90,0.026393739952520923,0.022672128316211265,0.030037363319878094,0.0001999600079984003,5000,0.0001999600079984003
artbench10_wikiart8,H2 curvature beyond ordinal,OP75_K40,OP75,0.06388285587083897,0.05660529172811385,0.07103568175763045,0.0001999600079984003,5000,0.0001999600079984003
artbench10_wikiart8,H3 curvature beyond appearance+ordinal,B90_OP75_K40,B90_OP75,0.017327042630026268,0.013996321140615532,0.02077621625715094,0.0001999600079984003,5000,0.0001999600079984003
